page,category,host,kind,width,n,mean_bytes,sd_bytes,se_bytes,own_mean_bytes
https://braze.com/,productivity,_AA,aa,listed,2,-74083.5,93239.80727403934,65930.5,0
https://braze.com/,productivity,assets.qualified.com,ablation,page,3,90449,451413.2146592521,260623.54099927354,1056649.6666666667
https://braze.com/,productivity,assets.qualified.com,ablation,third_party,3,306139.3333333333,72683.83633472667,41964.03247358915,1056649.6666666667
https://braze.com/,productivity,assets.qualified.com,ablation,listed,3,306004.6666666667,72848.9973598356,42059.38823589542,1056649.6666666667
https://braze.com/,productivity,js.qualified.com,ablation,page,3,1263297.6666666667,112474.14336785737,64936.97695030502,473317.3333333333
https://braze.com/,productivity,js.qualified.com,ablation,third_party,3,1182329.3333333333,71537.12072996322,41301.97591049503,473317.3333333333
https://braze.com/,productivity,js.qualified.com,ablation,listed,3,1181428,71360.16750961282,41199.81192109175,473317.3333333333
https://braze.com/,productivity,cdn.cookielaw.org,ablation,page,3,3526121.3333333335,185352.6777965005,107013.41842082754,272781
https://braze.com/,productivity,cdn.cookielaw.org,ablation,third_party,3,3587237.6666666665,79312.92980550733,45791.34137342755,272781
https://braze.com/,productivity,cdn.cookielaw.org,ablation,listed,3,1666067.6666666667,79334.90426245773,45804.02833206316,272781
https://creativecommons.org/,reference,_AA,aa,page,2,-47.5,53.033008588991066,37.5,0
https://creativecommons.org/,reference,_AA,aa,third_party,2,15.5,21.920310216782973,15.499999999999998,0
https://creativecommons.org/,reference,_AA,aa,listed,2,10,14.142135623730951,10.0,0
https://creativecommons.org/,reference,region1.analytics.google.com,ablation,page,3,-263,483.2732146519192,279.01792057142137,1920
https://creativecommons.org/,reference,region1.analytics.google.com,ablation,third_party,3,-295.3333333333333,511.53233850200843,295.33333333333337,1920
https://creativecommons.org/,reference,region1.analytics.google.com,ablation,listed,3,0,0.0,0.0,1920
https://creativecommons.org/,reference,ad.doubleclick.net,ablation,page,3,13,139.71757226634023,80.66597795849252,558
https://creativecommons.org/,reference,ad.doubleclick.net,ablation,third_party,3,-51.666666666666664,99.16820727094613,57.25479116293335,558
https://creativecommons.org/,reference,ad.doubleclick.net,ablation,listed,3,0,0.0,0.0,558
https://dailymotion.com/,entertainment,_AA,aa,page,2,238310.5,337091.23762046976,238359.5,0
https://dailymotion.com/,entertainment,_AA,aa,third_party,2,188408,266450.56307315244,188408.99999999997,0
https://dailymotion.com/,entertainment,_AA,aa,listed,2,17674,24997.63892850683,17676.0,0
https://dailymotion.com/,entertainment,pagead2.googlesyndication.com,ablation,page,3,152662.66666666666,264667.245121744,152805.70521671558,17910
https://dailymotion.com/,entertainment,pagead2.googlesyndication.com,ablation,third_party,3,119628,207209.57063079881,119632.50138235847,17910
https://dailymotion.com/,entertainment,pagead2.googlesyndication.com,ablation,listed,3,5807.333333333333,10062.060491436798,5809.333333333334,17910
https://dailymotion.com/,entertainment,s0.2mdn.net,ablation,page,3,-152765.66666666666,264138.12720304757,152500.21884392312,11616.666666666666
https://dailymotion.com/,entertainment,s0.2mdn.net,ablation,third_party,3,-119813,207487.56240073766,119793.00000556516,11616.666666666666
https://dailymotion.com/,entertainment,s0.2mdn.net,ablation,listed,3,-5969,10342.075565378547,5971.000111650756,11616.666666666666
https://dailymotion.com/,entertainment,securepubads.g.doubleclick.net,ablation,page,3,-273,623.8878104274838,360.201795294434,1895
https://dailymotion.com/,entertainment,securepubads.g.doubleclick.net,ablation,third_party,3,11.333333333333334,9.814954576223638,5.666666666666667,1895
https://dailymotion.com/,entertainment,securepubads.g.doubleclick.net,ablation,listed,3,0,0.0,0.0,1895
https://disneyplus.com/,entertainment,_AA,aa,page,2,162021,221864.6520922159,156882.0,0
https://disneyplus.com/,entertainment,_AA,aa,third_party,2,52303,66699.96845576465,47163.99999999999,0
https://disneyplus.com/,entertainment,_AA,aa,listed,2,4872,328.09754647055803,231.99999999999997,0
https://disneyplus.com/,entertainment,cdn.cookielaw.org,ablation,page,3,220262.33333333334,273018.9235315628,157627.54899480965,360501
https://disneyplus.com/,entertainment,cdn.cookielaw.org,ablation,third_party,3,199050,89070.39710813016,51424.817747205816,360501
https://disneyplus.com/,entertainment,cdn.cookielaw.org,ablation,listed,3,0,0.0,0.0,360501
https://disneyplus.com/,entertainment,browser-intake-datadoghq.com,ablation,page,3,-47102,76883.92711744113,44388.9560176102,1701.3333333333333
https://disneyplus.com/,entertainment,browser-intake-datadoghq.com,ablation,third_party,3,-3114,198.1842576997477,114.4217345320955,1701.3333333333333
https://disneyplus.com/,entertainment,browser-intake-datadoghq.com,ablation,listed,3,0,0.0,0.0,1701.3333333333333
https://fiverr.com/,shopping,_AA,aa,page,2,-19,19.79898987322333,13.999999999999998,0
