page,category,host,kind,rep,first_arm,width,control_bytes,ablated_bytes,own_bytes,diff_bytes,n_aborted
https://amazonalexa.com/,productivity,s.amazon-adsystem.com,ablation,1,ablated,listed,56162,4422,23952,27788,1
https://amazonalexa.com/,productivity,s.amazon-adsystem.com,ablation,2,control,page,7579692,7355358,23952,200382,1
https://amazonalexa.com/,productivity,s.amazon-adsystem.com,ablation,2,control,third_party,7579377,7355043,23952,200382,1
https://amazonalexa.com/,productivity,s.amazon-adsystem.com,ablation,2,control,listed,53507,4422,23952,25133,1
https://amazonalexa.com/,productivity,images-na.ssl-images-amazon.com,ablation,0,control,page,7402967,7380625,4422,17920,1
https://amazonalexa.com/,productivity,images-na.ssl-images-amazon.com,ablation,0,control,third_party,7402652,7380625,4422,17605,1
https://amazonalexa.com/,productivity,images-na.ssl-images-amazon.com,ablation,0,control,listed,52000,49265,4422,-1687,1
https://amazonalexa.com/,productivity,images-na.ssl-images-amazon.com,ablation,1,ablated,page,7386312,7381198,4176,938,1
https://amazonalexa.com/,productivity,images-na.ssl-images-amazon.com,ablation,1,ablated,third_party,7385997,7381198,4176,623,1
https://amazonalexa.com/,productivity,images-na.ssl-images-amazon.com,ablation,1,ablated,listed,53255,48608,4176,471,1
https://amazonalexa.com/,productivity,images-na.ssl-images-amazon.com,ablation,2,control,page,7560744,7554270,4176,2298,1
https://amazonalexa.com/,productivity,images-na.ssl-images-amazon.com,ablation,2,control,third_party,7560429,7553955,4176,2298,1
https://amazonalexa.com/,productivity,images-na.ssl-images-amazon.com,ablation,2,control,listed,50838,43113,4176,3549,1
https://amzn.to/,infrastructure,_AA,aa,0,control,page,2609580,2609224,0,356,0
https://amzn.to/,infrastructure,_AA,aa,0,control,third_party,2609134,2608778,0,356,0
https://amzn.to/,infrastructure,_AA,aa,0,control,listed,57119,58337,0,-1218,0
https://amzn.to/,infrastructure,_AA,aa,1,ablated,page,2610162,2609351,0,811,0
https://amzn.to/,infrastructure,_AA,aa,1,ablated,third_party,2609716,2608880,0,836,0
https://amzn.to/,infrastructure,_AA,aa,1,ablated,listed,57343,58036,0,-693,0
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,0,control,page,2606603,2558755,23952,23896,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,0,control,third_party,2606157,2558284,23952,23921,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,0,control,listed,56114,8374,23952,23788,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,1,ablated,page,2916514,2558602,23952,333960,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,1,ablated,third_party,2916514,2558156,23952,334406,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,1,ablated,listed,57189,8380,23952,24857,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,2,control,page,2618294,2569021,23952,25321,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,2,control,third_party,2617848,2568550,23952,25346,1
https://amzn.to/,infrastructure,s.amazon-adsystem.com,ablation,2,control,listed,56864,8889,23952,24023,1
https://amzn.to/,infrastructure,images-na.ssl-images-amazon.com,ablation,0,control,page,2619438,2616933,4421,-1916,1
https://amzn.to/,infrastructure,images-na.ssl-images-amazon.com,ablation,0,control,third_party,2618967,2616487,4421,-1941,1
https://amzn.to/,infrastructure,images-na.ssl-images-amazon.com,ablation,0,control,listed,56521,53395,4421,-1295,1
https://amzn.to/,infrastructure,images-na.ssl-images-amazon.com,ablation,1,ablated,page,2615153,2612036,4421,-1304,1
https://amzn.to/,infrastructure,images-na.ssl-images-amazon.com,ablation,1,ablated,third_party,2614707,2611590,4421,-1304,1
https://amzn.to/,infrastructure,images-na.ssl-images-amazon.com,ablation,1,ablated,listed,55449,52143,4421,-1115,1
https://amzn.to/,infrastructure,images-na.ssl-images-amazon.com,ablation,2,control,page,2616256,2610732,4441,1083,1
https://amzn.to/,infrastructure,images-na.ssl-images-amazon.com,ablation,2,control,third_party,2616256,2610261,4441,1554,1
https://amzn.to/,infrastructure,images-na.ssl-images-amazon.com,ablation,2,control,listed,56805,53358,4441,-994,1
https://att.com/,productivity,_AA,aa,0,control,page,7429471,7418074,0,11397,0
https://att.com/,productivity,_AA,aa,0,control,third_party,1081731,1083093,0,-1362,0
https://att.com/,productivity,_AA,aa,0,control,listed,847654,848006,0,-352,0
https://att.com/,productivity,_AA,aa,1,ablated,page,7089769,7414507,0,-324738,0
https://att.com/,productivity,_AA,aa,1,ablated,third_party,1090655,1081707,0,8948,0
https://att.com/,productivity,_AA,aa,1,ablated,listed,858325,850201,0,8124,0
https://att.com/,productivity,cdn.quantummetric.com,ablation,0,control,page,7072232,7206180,206108,-340056,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,0,control,third_party,1080671,864007,206108,10556,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,0,control,listed,848668,629759,206108,12801,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,1,ablated,page,7082489,6858333,206108,18048,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,1,ablated,third_party,1082168,868313,206108,7747,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,1,ablated,listed,848148,634968,206108,7072,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,2,control,page,7428896,6876481,206108,346307,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,2,control,third_party,2108462,876427,206108,1025927,2
https://att.com/,productivity,cdn.quantummetric.com,ablation,2,control,listed,854338,643065,206108,5165,2
https://att.com/,productivity,connect.facebook.net,ablation,0,control,page,7416708,6325617,178377,912714,1
https://att.com/,productivity,connect.facebook.net,ablation,0,control,third_party,1082645,906327,178377,-2059,1
https://att.com/,productivity,connect.facebook.net,ablation,0,control,listed,849238,672764,178377,-1903,1
https://att.com/,productivity,connect.facebook.net,ablation,1,ablated,page,7076833,7228305,178382,-329854,1
https://att.com/,productivity,connect.facebook.net,ablation,1,ablated,third_party,1084611,900403,178382,5826,1
https://att.com/,productivity,connect.facebook.net,ablation,1,ablated,listed,852509,669958,178382,4169,1
https://att.com/,productivity,connect.facebook.net,ablation,2,control,page,7412449,7233389,178383,677,1
https://att.com/,productivity,connect.facebook.net,ablation,2,control,third_party,1087017,907601,178383,1033,1
https://att.com/,productivity,connect.facebook.net,ablation,2,control,listed,852017,674975,178383,-1341,1
https://att.com/,productivity,s2.go-mpulse.net,ablation,0,control,page,7428850,7285160,118330,25360,4
https://att.com/,productivity,s2.go-mpulse.net,ablation,0,control,third_party,1088408,954864,118330,15214,4
https://att.com/,productivity,s2.go-mpulse.net,ablation,0,control,listed,853796,721547,118330,13919,4
https://att.com/,productivity,s2.go-mpulse.net,ablation,1,ablated,page,7418760,6942219,118330,358211,4
