domain,n_req,bytes,tracker_bytes,n_tracker_req,n_tracker_hosts
latimes.com,62,1429974,401115,16,11
launchdarkly.com,274,3889266,649716,141,55
launchpad.net,7,181766,0,0,0
lefigaro.fr,190,2332553,434256,16,10
lemonde.fr,48,1461748,6194,7,3
life360.com,121,2791320,242694,40,26
lijit.com,6,93944,93944,6,1
line.me,82,20703766,0,1,1
linkedin.com,27,1399311,1230475,21,5
linktr.ee,98,1941685,763106,28,13
livejournal.com,167,4399190,709160,81,27
mail.ru,40,955131,306112,18,8
mailchimp.com,662,5316141,3951912,491,62
media.net,88,2505267,210683,43,14
mediafire.com,28,1545243,268866,9,6
mediatek.com,128,3738019,204950,29,12
mercadolivre.com.br,37,502646,390900,32,1
meta.com,71,3645234,385239,17,3
microsoft.com,187,2229295,75698,43,21
mikrotik.com,27,1242327,0,0,0
mit.edu,20,859072,0,0,0
mixpanel.com,182,3553915,1517771,112,36
mlb.com,383,29341115,1460981,225,76
moloco.com,88,2467755,413456,21,5
mozilla.org,45,1375880,0,1,1
myspace.com,83,4665394,1801,2,1
name.com,882,4710449,753037,56,25
nasa.gov,119,11878985,54320,16,6
nature.com,52,1857383,707373,16,5
nbcnews.com,322,10443994,1784318,145,70
netangels.ru,119,2758542,97904,16,2
netflix.com,56,4816968,239565,14,10
newrelic.com,194,8127031,1498535,108,25
nginx.org,10,58117,0,0,0
nike.com,227,16925507,800999,51,23
nikkei.com,37,1048579,198087,10,5
nintendo.com,269,9413238,579133,77,22
nist.gov,67,3744514,31041,6,4
npr.org,752,5897071,2304883,647,195
ntp.org,41,1007715,57042,9,5
nvidia.com,92,7961952,513600,28,15
nytimes.com,474,4766182,743670,51,26
odoo.com,62,5057568,1360,1,1
ok.ru,331,4436415,190938,16,6
okta.com,249,28963919,1203261,186,53
onet.pl,173,2698656,443422,33,6
onetag-sys.com,3,6194,1030,2,1
onetrust.com,113,3413234,2708628,83,24
onlyfans.com,85,698292,0,0,0
openai.com,138,13295303,19706,3,2
opendns.com,140,2884074,578996,77,26
openstreetmap.org,29,915781,0,0,0
optimizely.com,232,12774954,11958497,212,44
oracle.com,53,973183,207252,19,8
outbrain.com,42,1706429,1351620,32,3
oxylabs.io,172,8952022,432682,73,28
palmplaystore.com,140,2188478,313328,14,4
paloaltonetworks.com,273,3412695,935029,146,46
parklogic.com,107,6735125,4997830,68,1
paypal.com,88,1937834,33627,4,1
pendo.io,271,3263924,1846402,205,43
people.com,104,5910980,1049701,51,35
php.net,19,853799,0,0,0
pikabu.ru,58,2033283,274618,16,8
pinterest.com,85,2357066,956,2,2
pki.goog,25,1839742,18574,2,1
playrix.com,45,8593871,2,1,1
plesk.com,133,1676724,74817,12,9
porkbun.com,141,5160985,648768,47,19
pornhub.com,73,3162458,1094248,6,3
primevideo.com,91,3027048,0,1,1
princeton.edu,20,612288,0,1,1
prnewswire.com,220,5071230,777584,67,30
python.org,27,489706,8138,1,1
qualtrics.com,225,7229817,806609,115,34
quickconnect.to,11,258357,0,0,0
rakuten.com,188,3034612,1489940,114,38
redhat.com,169,1584456,406075,63,20
reg.ru,145,2095229,157165,20,3
ring.com,148,10835259,0,0,0
roblox.com,172,3339546,95369,1,1
roku.com,122,2718588,41388,16,8
rt.ru,6,57041,43,5,2
ryanair.com,21,790603,0,0,0
sagepub.com,67,1813616,306462,14,4
salesforce.com,257,5141341,587306,85,34
samsungcloud.com,15,2286472,0,0,0
scorecardresearch.com,17,292183,87202,13,2
scribd.com,56,2350560,405260,15,9
sedo.com,55,3915487,0,0,0
seedtag.com,107,5040378,628975,28,16
selectel.ru,299,6836651,218324,14,4
sentry.io,52,1158202,770989,48,3
seznam.cz,37,2397870,1134113,23,10
share.google,4,22623,0,0,0
shein.com,672,9272724,7777428,476,37
shopee.co.id,140,3830071,70474,5,4
shopee.com.br,128,2943696,0,0,0
shopify.com,172,1767066,125735,35,12
singular.net,32,3153750,3153750,32,1
slack.com,142,5215484,572118,64,28
slideshare.net,45,893771,103234,2,1
snapchat.com,68,3865948,3865837,61,9
speedtest.net,828,2283846,1026263,713,173
spiegel.de,39,5059916,0,0,0
squarespace.com,162,5190953,304011,52,26
stackadapt.com,174,4303271,687656,66,29
stanford.edu,63,2431988,181280,5,4
starlink.com,254,3413012,345214,45,20
statista.com,45,1157041,314254,12,2
steamcommunity.com,56,2706752,0,0,0
stripchat.com,121,2093985,183919,9,1
stripe.com,127,1303065,48615,19,17
substack.com,162,2454361,209047,22,8
supercell.com,71,3523581,568244,12,2
surveymonkey.com,81,1460791,236912,33,22
synology.com,243,17551743,1011005,139,33
t-online.de,67,1812983,0,0,0
t.co,1,504,0,0,0
taboola.com,276,15578476,12819261,202,39
tbank.ru,296,5425671,123457,53,10
teamviewer.com,132,1595843,101536,12,2
techcrunch.com,1443,4854500,1524101,1187,236
ted.com,1394,16707206,5184700,1081,234
telegram.org,58,12266457,0,0,0
temu.com,42,3011166,0,0,0
theguardian.com,137,1543547,774260,47,31
theverge.com,908,7945372,3884521,786,223
threads.com,32,1995496,0,0,0
tiktok.com,112,3874564,3685753,92,8
time.com,21,1110001,0,0,0
tinyurl.com,41,5042674,29990,4,2
tp-link.com,109,65699127,0,0,0
tplinkcloud.com,37,640178,22196,3,1
tradingview.com,270,10710447,0,1,1
trendmicro.com,216,5298059,935894,140,41
tumblr.com,38,945145,2,2,2
ubuntu.com,69,2577076,58201,23,8
ui.com,312,12802034,235674,46,13
uk.com,37,2478503,0,2,1
un.org,100,6306496,38381,13,5
unesco.org,27,1081627,26778,1,1
unpkg.com,6,130765,0,1,1
uol.com.br,284,30576794,29844037,213,86
ups.com,165,2363062,1060987,63,22
usatoday.com,2558,6801058,3972227,2276,296
usps.com,135,3712802,287596,38,30
verisign.com,36,1347517,177136,12,3
viber.com,59,3352170,110514,15,6
vimeo.com,136,4983875,177918,18,10
visma.com,27,474739,23384,6,2
vivo.com.cn,78,4952024,0,0,0
vivoglobal.com,6,674664,0,0,0
w3.org,11,564263,0,0,0
walmart.com,123,1950332,508,1,1
washington.edu,182,11350353,379105,87,38
wattpad.com,211,2800668,333265,121,59
weather.com,1077,4950630,3045716,905,212
weebly.com,18,628977,29818,3,1
welt.de,92,1279447,67062,3,1
whatsapp.com,15,574591,0,0,0
who.int,119,6713351,74460,17,10
wikimedia.org,13,115770,0,0,0
wikipedia.org,3,32250,0,0,0
wiley.com,135,4091586,375642,40,13
wired.com,874,44781515,4836344,588,150
wix.com,395,7326982,510424,56,18
wordpress.com,92,2533433,428334,18,9
wordpress.org,46,2131711,0,1,1
worldbank.org,103,2550335,180074,14,7
wp.pl,22,920790,37054,1,1
wpguardian.com,37,759571,11406,5,4
wps.com,125,2766879,52316,14,7
www.gov.uk,12,234638,0,0,0
x.com,263,2881705,18957,4,1
xbox.com,128,4613089,197305,15,7
xhamster.com,134,23864017,0,0,0
xvideos.com,10,630772,0,0,0
ya.ru,14,178637,37766,3,2
yahoo.com,481,4150661,819854,336,115
yandex.com,30,599281,76116,7,3
youku.com,104,6356430,1133319,19,1
zendesk.com,341,14246735,677251,141,39
zoho.com,94,1620186,952,2,1
zoom.com,240,12863297,580100,96,51
