page,category,host,kind,rep,first_arm,width,control_bytes,ablated_bytes,own_bytes,diff_bytes,n_aborted
https://braze.com/,productivity,dev.visualwebsiteoptimizer.com,ablation,1,ablated,listed,2204560,1983234,221264,62,2
https://braze.com/,productivity,app.qualified.com,ablation,0,control,page,8003548,6583973,16858,1402717,11
https://braze.com/,productivity,app.qualified.com,ablation,0,control,third_party,4623694,3204048,16858,1402788,11
https://braze.com/,productivity,app.qualified.com,ablation,0,control,listed,2192597,772725,16858,1403014,11
https://braze.com/,productivity,app.qualified.com,ablation,1,ablated,page,7403759,6584193,16858,802708,11
https://braze.com/,productivity,app.qualified.com,ablation,1,ablated,third_party,4494037,3203861,16858,1273318,11
https://braze.com/,productivity,app.qualified.com,ablation,1,ablated,listed,2063048,772872,16858,1273318,11
https://braze.com/,productivity,_JOINT,joint,0,control,page,8004021,6056488,704667,1242866,3
https://braze.com/,productivity,_JOINT,joint,0,control,third_party,4624087,2713414,704667,1206006,3
https://braze.com/,productivity,_JOINT,joint,0,control,listed,2192358,282425,704667,1205266,3
https://braze.com/,productivity,_JOINT,joint,1,ablated,page,8015714,5921978,714715,1379021,3
https://braze.com/,productivity,_JOINT,joint,1,ablated,third_party,4636421,2710975,714715,1210731,3
https://braze.com/,productivity,_JOINT,joint,1,ablated,listed,2204331,279590,714715,1210026,3
https://creativecommons.org/,reference,region1.analytics.google.com,ablation,0,control,page,20661338,20659525,1920,-107,3
https://creativecommons.org/,reference,region1.analytics.google.com,ablation,0,control,third_party,183964,182044,1920,0,3
https://creativecommons.org/,reference,region1.analytics.google.com,ablation,0,control,listed,3320,1400,1920,0,3
https://creativecommons.org/,reference,region1.analytics.google.com,ablation,1,ablated,page,20661426,20659551,1920,-45,3
https://creativecommons.org/,reference,region1.analytics.google.com,ablation,1,ablated,third_party,183964,182044,1920,0,3
https://creativecommons.org/,reference,region1.analytics.google.com,ablation,1,ablated,listed,3320,1400,1920,0,3
https://creativecommons.org/,reference,ad.doubleclick.net,ablation,0,control,page,20661606,20660812,558,236,2
https://creativecommons.org/,reference,ad.doubleclick.net,ablation,0,control,third_party,184130,183406,558,166,2
https://creativecommons.org/,reference,ad.doubleclick.net,ablation,0,control,listed,3320,2762,558,0,2
https://creativecommons.org/,reference,ad.doubleclick.net,ablation,1,ablated,page,20661435,20660905,558,-28,2
https://creativecommons.org/,reference,ad.doubleclick.net,ablation,1,ablated,third_party,183964,183406,558,0,2
https://creativecommons.org/,reference,ad.doubleclick.net,ablation,1,ablated,listed,3320,2762,558,0,2
https://creativecommons.org/,reference,_JOINT,joint,0,control,page,20661306,20658758,2478,70,5
https://creativecommons.org/,reference,_JOINT,joint,0,control,third_party,183964,181486,2478,0,5
https://creativecommons.org/,reference,_JOINT,joint,0,control,listed,3320,842,2478,0,5
https://creativecommons.org/,reference,_JOINT,joint,1,ablated,page,20661661,20659130,2478,53,5
https://creativecommons.org/,reference,_JOINT,joint,1,ablated,third_party,183953,181652,2478,-177,5
https://creativecommons.org/,reference,_JOINT,joint,1,ablated,listed,3320,842,2478,0,5
https://dailymotion.com/,entertainment,pagead2.googlesyndication.com,ablation,0,control,page,3537541,3519880,17909,-248,1
https://dailymotion.com/,entertainment,pagead2.googlesyndication.com,ablation,0,control,third_party,1473935,1456029,17909,-3,1
https://dailymotion.com/,entertainment,pagead2.googlesyndication.com,ablation,0,control,listed,37223,19315,17909,-1,1
https://dailymotion.com/,entertainment,pagead2.googlesyndication.com,ablation,1,ablated,page,3537906,3519272,17909,725,1
https://dailymotion.com/,entertainment,pagead2.googlesyndication.com,ablation,1,ablated,third_party,1474302,1456025,17909,368,1
https://dailymotion.com/,entertainment,pagead2.googlesyndication.com,ablation,1,ablated,listed,37223,19310,17909,4,1
https://dailymotion.com/,entertainment,s0.2mdn.net,ablation,0,control,page,3537516,3520128,17425,-37,1
https://dailymotion.com/,entertainment,s0.2mdn.net,ablation,0,control,third_party,1473937,1456508,17425,4,1
https://dailymotion.com/,entertainment,s0.2mdn.net,ablation,0,control,listed,37222,19798,17425,-1,1
https://dailymotion.com/,entertainment,s0.2mdn.net,ablation,1,ablated,page,3535980,3520119,17425,-1564,1
https://dailymotion.com/,entertainment,s0.2mdn.net,ablation,1,ablated,third_party,1473931,1456508,17425,-2,1
https://dailymotion.com/,entertainment,s0.2mdn.net,ablation,1,ablated,listed,37220,19795,17425,0,1
https://dailymotion.com/,entertainment,securepubads.g.doubleclick.net,ablation,0,control,page,3537549,3536813,1890,-1154,1
https://dailymotion.com/,entertainment,securepubads.g.doubleclick.net,ablation,0,control,third_party,1473944,1473545,1890,-1491,1
https://dailymotion.com/,entertainment,securepubads.g.doubleclick.net,ablation,0,control,listed,37225,36829,1890,-1494,1
https://dailymotion.com/,entertainment,securepubads.g.doubleclick.net,ablation,1,ablated,page,3538115,3536028,1888,199,1
https://dailymotion.com/,entertainment,securepubads.g.doubleclick.net,ablation,1,ablated,third_party,1474444,1472409,1888,147,1
https://dailymotion.com/,entertainment,securepubads.g.doubleclick.net,ablation,1,ablated,listed,37727,35335,1888,504,1
https://dailymotion.com/,entertainment,_JOINT,joint,0,control,page,3537780,3500301,37222,257,3
https://dailymotion.com/,entertainment,_JOINT,joint,0,control,third_party,1473942,1436704,37222,16,3
https://dailymotion.com/,entertainment,_JOINT,joint,0,control,listed,37222,0,37222,0,3
https://dailymotion.com/,entertainment,_JOINT,joint,1,ablated,page,3537538,3500327,37223,-12,3
https://dailymotion.com/,entertainment,_JOINT,joint,1,ablated,third_party,1473935,1436707,37223,5,3
https://dailymotion.com/,entertainment,_JOINT,joint,1,ablated,listed,37223,0,37223,0,3
https://disneyplus.com/,entertainment,browser-intake-datadoghq.com,ablation,0,control,page,6009741,5491597,1856,516288,8
https://disneyplus.com/,entertainment,browser-intake-datadoghq.com,ablation,0,control,third_party,5671314,5383335,1856,286123,8
https://disneyplus.com/,entertainment,browser-intake-datadoghq.com,ablation,0,control,listed,362357,360492,1856,9,8
https://disneyplus.com/,entertainment,browser-intake-datadoghq.com,ablation,1,ablated,page,6046659,5497410,1856,547393,8
https://disneyplus.com/,entertainment,browser-intake-datadoghq.com,ablation,1,ablated,third_party,5707650,5389730,1856,316064,8
https://disneyplus.com/,entertainment,browser-intake-datadoghq.com,ablation,1,ablated,listed,362349,360501,1856,-8,8
https://fiverr.com/,shopping,connect.facebook.net,ablation,0,control,page,923071,923024,0,47,0
https://fiverr.com/,shopping,connect.facebook.net,ablation,0,control,third_party,906996,906955,0,41,0
https://fiverr.com/,shopping,connect.facebook.net,ablation,0,control,listed,630844,630801,0,43,0
https://fiverr.com/,shopping,connect.facebook.net,ablation,1,ablated,page,923025,924928,0,-1903,0
https://fiverr.com/,shopping,connect.facebook.net,ablation,1,ablated,third_party,906945,908849,0,-1904,0
https://fiverr.com/,shopping,connect.facebook.net,ablation,1,ablated,listed,630788,632692,0,-1904,0
https://fiverr.com/,shopping,bat.bing.com,ablation,0,control,page,923041,922996,0,45,0
https://fiverr.com/,shopping,bat.bing.com,ablation,0,control,third_party,906950,906947,0,3,0
https://fiverr.com/,shopping,bat.bing.com,ablation,0,control,listed,630792,630789,0,3,0
https://fiverr.com/,shopping,bat.bing.com,ablation,1,ablated,page,923051,923098,0,-47,0
https://fiverr.com/,shopping,bat.bing.com,ablation,1,ablated,third_party,906971,907027,0,-56,0
https://fiverr.com/,shopping,bat.bing.com,ablation,1,ablated,listed,630788,630842,0,-54,0
https://fiverr.com/,shopping,cdn.pdst.fm,ablation,0,control,page,923033,923085,0,-52,0
https://fiverr.com/,shopping,cdn.pdst.fm,ablation,0,control,third_party,907009,907005,0,4,0
https://fiverr.com/,shopping,cdn.pdst.fm,ablation,0,control,listed,630851,630822,0,29,0
https://fiverr.com/,shopping,cdn.pdst.fm,ablation,1,ablated,page,923025,923032,0,-7,0
https://fiverr.com/,shopping,cdn.pdst.fm,ablation,1,ablated,third_party,906952,906953,0,-1,0
https://fiverr.com/,shopping,cdn.pdst.fm,ablation,1,ablated,listed,630794,630795,0,-1,0
https://fiverr.com/,shopping,_JOINT,joint,0,control,page,923031,923050,0,-19,0
https://fiverr.com/,shopping,_JOINT,joint,0,control,third_party,906953,906978,0,-25,0
https://fiverr.com/,shopping,_JOINT,joint,0,control,listed,630795,630795,0,0,0
https://fiverr.com/,shopping,_JOINT,joint,1,ablated,page,923011,923048,0,-37,0
https://fiverr.com/,shopping,_JOINT,joint,1,ablated,third_party,906939,906973,0,-34,0
https://fiverr.com/,shopping,_JOINT,joint,1,ablated,listed,630781,630790,0,-9,0
https://fwmrm.net/,infrastructure,connect.facebook.net,ablation,0,control,page,2755333,2531823,221616,1894,1
https://fwmrm.net/,infrastructure,connect.facebook.net,ablation,0,control,third_party,2755024,2531514,221616,1894,1
https://fwmrm.net/,infrastructure,connect.facebook.net,ablation,0,control,listed,772970,550691,221616,663,1
https://fwmrm.net/,infrastructure,connect.facebook.net,ablation,1,ablated,page,2758828,2534219,221700,2909,1
https://fwmrm.net/,infrastructure,connect.facebook.net,ablation,1,ablated,third_party,2758519,2533910,221700,2909,1
https://fwmrm.net/,infrastructure,connect.facebook.net,ablation,1,ablated,listed,773030,549246,221700,2084,1
https://fwmrm.net/,infrastructure,snap.licdn.com,ablation,0,control,page,2755581,2586781,166695,2105,7
https://fwmrm.net/,infrastructure,snap.licdn.com,ablation,0,control,third_party,2755272,2586472,166695,2105,7
https://fwmrm.net/,infrastructure,snap.licdn.com,ablation,0,control,listed,771769,603586,166695,1488,7
https://fwmrm.net/,infrastructure,snap.licdn.com,ablation,1,ablated,page,2754309,2587675,166695,-61,7
https://fwmrm.net/,infrastructure,snap.licdn.com,ablation,1,ablated,third_party,2754000,2587675,166695,-370,7
https://fwmrm.net/,infrastructure,snap.licdn.com,ablation,1,ablated,listed,773001,603662,166695,2644,7
https://fwmrm.net/,infrastructure,js.hubspot.com,ablation,0,control,page,2755643,2402066,43900,309677,1
https://fwmrm.net/,infrastructure,js.hubspot.com,ablation,0,control,third_party,2755334,2401757,43900,309677,1
https://fwmrm.net/,infrastructure,js.hubspot.com,ablation,0,control,listed,772971,726045,43900,3026,1
https://fwmrm.net/,infrastructure,js.hubspot.com,ablation,1,ablated,page,2753300,2399615,43879,309806,1
https://fwmrm.net/,infrastructure,js.hubspot.com,ablation,1,ablated,third_party,2752991,2399306,43879,309806,1
