page,category,host,kind,width,n,mean_bytes,sd_bytes,se_bytes,own_mean_bytes
https://dailymotion.com/,entertainment,securepubads.g.doubleclick.net,ablation,listed,2,-495,1412.799348810722,999.0,1889
https://dailymotion.com/,entertainment,_JOINT,joint,page,2,122.5,190.21172413918129,134.5,37222.5
https://dailymotion.com/,entertainment,_JOINT,joint,third_party,2,10.5,7.7781745930520225,5.499999999999999,37222.5
https://dailymotion.com/,entertainment,_JOINT,joint,listed,2,0,0.0,0.0,37222.5
https://disneyplus.com/,entertainment,browser-intake-datadoghq.com,ablation,page,2,531840.5,21994.556428807562,15552.5,1856
https://disneyplus.com/,entertainment,browser-intake-datadoghq.com,ablation,third_party,2,301093.5,21171.48413550642,14970.5,1856
https://disneyplus.com/,entertainment,browser-intake-datadoghq.com,ablation,listed,2,0.5,12.020815280171307,8.499999999999998,1856
https://fiverr.com/,shopping,connect.facebook.net,ablation,page,2,-928,1378.8582233137677,974.9999999999999,0
https://fiverr.com/,shopping,connect.facebook.net,ablation,third_party,2,-931.5,1375.322689407835,972.5,0
https://fiverr.com/,shopping,connect.facebook.net,ablation,listed,2,-930.5,1376.7369029702081,973.5,0
https://fiverr.com/,shopping,bat.bing.com,ablation,page,2,-1,65.05382386916237,46.0,0
https://fiverr.com/,shopping,bat.bing.com,ablation,third_party,2,-26.5,41.71930009000631,29.5,0
https://fiverr.com/,shopping,bat.bing.com,ablation,listed,2,-25.5,40.30508652763321,28.499999999999996,0
https://fiverr.com/,shopping,cdn.pdst.fm,ablation,page,2,-29.5,31.81980515339464,22.5,0
https://fiverr.com/,shopping,cdn.pdst.fm,ablation,third_party,2,1.5,3.5355339059327378,2.5,0
https://fiverr.com/,shopping,cdn.pdst.fm,ablation,listed,2,14,21.213203435596427,15.0,0
https://fiverr.com/,shopping,_JOINT,joint,page,2,-28,12.727922061357855,9.0,0
https://fiverr.com/,shopping,_JOINT,joint,third_party,2,-29.5,6.363961030678928,4.5,0
https://fiverr.com/,shopping,_JOINT,joint,listed,2,-4.5,6.363961030678928,4.5,0
https://fwmrm.net/,infrastructure,connect.facebook.net,ablation,page,2,2401.5,717.7133829043457,507.49999999999994,221658
https://fwmrm.net/,infrastructure,connect.facebook.net,ablation,third_party,2,2401.5,717.7133829043457,507.49999999999994,221658
https://fwmrm.net/,infrastructure,connect.facebook.net,ablation,listed,2,1373.5,1004.7987360660841,710.5,221658
https://fwmrm.net/,infrastructure,snap.licdn.com,ablation,page,2,1022,1531.593288050062,1083.0,166695
https://fwmrm.net/,infrastructure,snap.licdn.com,ablation,third_party,2,867.5,1750.089283436705,1237.4999999999998,166695
https://fwmrm.net/,infrastructure,snap.licdn.com,ablation,listed,2,2066,817.415439051649,578.0,166695
https://fwmrm.net/,infrastructure,js.hubspot.com,ablation,page,2,309741.5,91.21677477306463,64.5,43889.5
https://fwmrm.net/,infrastructure,js.hubspot.com,ablation,third_party,2,309741.5,91.21677477306463,64.5,43889.5
https://fwmrm.net/,infrastructure,js.hubspot.com,ablation,listed,2,1878,1623.517169604313,1147.9999999999998,43889.5
https://fwmrm.net/,infrastructure,_JOINT,joint,page,2,314922,281.4284989122459,198.99999999999997,432442
https://fwmrm.net/,infrastructure,_JOINT,joint,third_party,2,314922,281.4284989122459,198.99999999999997,432442
https://fwmrm.net/,infrastructure,_JOINT,joint,listed,2,5030.5,149.19953083036154,105.5,432442
https://harvard.edu/,reference,connect.facebook.net,ablation,page,2,591.5,153.4421715174808,108.49999999999999,161611
https://harvard.edu/,reference,connect.facebook.net,ablation,third_party,2,492.5,13.435028842544403,9.5,161611
https://harvard.edu/,reference,connect.facebook.net,ablation,listed,2,494.5,27.577164466275352,19.499999999999996,161611
